Yield,Fat,Protein,Conductivity,Lactose,Scc,Blood,Result
51369,3.87,3.26,8.8,4.38,32008246,0.02,0.0
37577,3.8,3.11,9.9,4.28,5055157,0.04,1.0
33760,3.59,3.13,11.2,4.49,1064809,0.01,0.0
30933,3.62,3.1,8.7,4.76,10479,0.02,0.0
30297,3.39,3.14,9.2,4.72,432307,0.02,0.0
30032,3.46,3.06,9.0,4.71,5665013,0.0,0.0
47308,3.23,3.11,9.2,4.52,31359046,0.01,0.0
25626,3.63,3.13,10.5,4.6,228392,0.04,1.0
53625,4.06,3.15,8.9,4.7,2515454,0.02,0.0
53484,4.32,3.22,9.5,4.61,2359413,0.01,0.0
45838,4.72,3.15,9.4,4.68,15849569,0.0,0.0
52117,3.25,3.13,10.1,4.43,6300306,0.01,0.0
59971,3.1,2.63,10.7,4.34,6153516,0.05,0.0
41497,3.31,3.39,8.1,4.47,7680960,0.03,0.0
43741,3.85,2.72,10.3,4.64,9627351,0.02,0.0
43020,4.78,2.75,11.2,4.64,4379194,0.06,0.0
35970,4.45,2.92,10.0,4.71,8360928,0.02,0.0
36844,4.63,2.98,10.4,4.75,98463271,0.02,0.0
40976,4.31,3.01,10.1,4.72,860846,0.01,0.0
36588,4.33,3.01,9.5,4.76,7997813,0.0,0.0
46298,4.38,2.99,8.7,4.86,7262728,0.01,0.0
35526,2.85,1.82,8.4,2.87,52023,0.0,0.0
33922,4.79,2.88,8.6,4.92,1953730,0.0,1.0
55701,3.01,3.01,9.8,4.4,14957156,0.01,0.0
30589,3.2,2.69,6.1,4.68,13912018,0.0,0.0
52854,4.07,2.8,8.6,4.92,1497320,0.0,0.0
49093,4.63,3.11,8.4,4.8,1108700,0.03,1.0
34866,3.65,3.11,8.6,4.52,23753336,0.02,1.0
41185,3.92,3.13,8.1,4.81,402712,0.01,0.0
36639,3.25,2.92,10.0,4.61,144060187,0.0,1.0
43700,3.64,2.97,9.3,4.71,3479339,0.01,1.0
34774,3.95,3.1,8.6,4.6,20875335,0.01,0.0
46190,4.13,3.43,8.6,4.8,654260,0.03,0.0
37186,4.21,3.32,8.0,4.76,9974789,0.01,1.0
52494,4.12,3.2,9.2,4.75,438399,0.01,0.0
47702,3.97,3.1,10.0,4.67,3470029,0.01,0.0
31815,3.98,2.84,9.4,4.76,2391895,0.02,1.0
46098,3.2,2.66,9.1,4.66,2551955,0.0,0.0
36076,3.53,2.87,9.9,4.63,12050558,0.03,1.0
45802,3.18,3.0,9.4,4.24,29227,0.06,0.0
43245,3.56,3.41,9.1,4.35,502357,0.05,0.0
42098,3.91,3.28,9.7,4.42,736234181,0.05,0.0
54544,3.28,3.31,9.5,4.35,3762479,0.06,1.0
54761,3.97,3.23,8.9,4.58,14839071,0.03,0.0
43554,4.4,3.23,8.8,4.68,492682,0.02,1.0
26774,2.69,2.05,8.8,3.04,500421,0.0,1.0
68976,2.89,3.36,9.1,3.98,50019583,0.06,0.0
65542,3.01,3.37,8.9,4.23,223414494,0.05,0.0
28874,3.47,3.01,9.3,4.57,2211449,0.01,1.0
36988,4.08,3.13,10.0,4.22,6108231,0.07,1.0
58282,3.73,3.34,8.8,4.34,7466839,0.04,0.0
56239,3.5,3.12,9.1,4.38,3062481,0.05,1.0
54712,3.23,2.99,9.7,4.64,28788,0.0,0.0
56193,3.19,3.08,9.6,4.68,1446203,0.0,1.0
38499,4.4,3.14,9.6,4.79,7112646,0.0,0.0
34793,3.75,3.11,10.1,4.79,8634245,0.07,1.0
45955,4.31,2.57,9.2,4.74,325771613,0.04,0.0
45800,3.6,2.64,9.0,4.71,2480383,0.0,0.0
55516,3.07,3.14,9.6,4.31,1494199,0.05,0.0
53369,3.45,3.21,8.9,4.4,230579362,0.04,1.0
46214,3.9,3.33,8.9,4.69,414879,0.03,1.0
40544,3.27,3.04,8.5,4.55,1712997,0.0,0.0
45404,4.1,2.78,8.6,4.97,291022,0.0,0.0
32834,3.67,2.79,8.5,4.51,1589084,0.01,1.0
30344,3.68,3.55,6.1,4.52,69744634,0.01,1.0
53298,2.88,3.09,9.8,4.23,28059856,0.06,0.0
47755,3.77,3.18,8.7,4.28,379447431,0.05,1.0
44788,4.03,2.85,9.2,4.77,929867,0.0,0.0
46492,4.07,2.91,9.5,4.67,28134076,0.0,0.0
42648,3.61,2.91,9.8,4.66,25725606,0.0,0.0
41765,3.63,2.94,9.8,4.67,459570,0.0,0.0
29960,2.73,2.66,6.9,4.67,12349694,0.0,0.0
43032,3.9,2.61,9.0,4.68,2013453,0.06,1.0
34824,4.13,2.91,8.7,4.57,416931,0.01,0.0
23975,4.03,3.39,5.9,4.6,1483082,0.01,0.0
24418,3.52,3.46,5.9,4.49,564262751,0.0,1.0
35633,4.01,2.98,9.1,4.72,8126023,0.03,1.0
31141,3.63,3.33,9.9,4.13,76553874,0.06,0.0
52416,3.43,2.69,8.8,4.45,1280451,0.01,0.0
45578,3.88,3.1,9.0,4.83,820827,0.08,0.0
52544,3.71,2.97,8.4,4.79,471000,0.0,0.0
49451,3.94,2.96,8.8,4.73,3796252,0.0,0.0
46269,3.31,3.03,9.3,4.69,14883537,0.0,0.0
34551,4.74,3.14,8.1,4.95,650311,0.0,1.0
42338,3.74,3.25,11.2,4.28,148792697,0.05,1.0
49472,2.71,2.17,9.7,3.0,3171082,0.04,0.0
25502,4.78,3.14,6.9,4.33,9547245,0.05,0.0
31302,3.37,3.18,11.6,4.02,8976594,0.09,1.0
45345,2.91,2.64,9.7,4.65,669724,0.0,1.0
55249,3.52,3.14,9.2,4.62,456247,0.02,0.0
52799,3.38,2.45,9.7,3.48,5628,0.02,1.0
38427,4.28,2.71,9.0,4.58,90153699,0.07,1.0
49332,3.69,3.1,8.9,4.46,53051,0.03,1.0
40819,4.49,2.84,7.8,4.68,48984220,0.1,0.0
49351,3.76,3.25,9.2,4.39,4206872,0.02,0.0
49644,3.47,3.26,9.7,4.54,11477226,0.01,0.0
46559,3.78,3.21,8.8,4.72,846171,0.02,1.0
49824,3.26,2.91,8.7,4.61,5997283,0.0,1.0
42020,3.89,3.22,8.8,4.73,15212691,0.04,1.0
46625,4.13,3.16,8.7,4.32,12530675,0.05,0.0
47794,4.02,3.14,8.5,4.72,555911,0.02,0.0
38127,4.09,3.12,9.0,4.68,199520,0.01,0.0
11045,3.5,3.04,3.2,4.61,62230049,0.01,1.0
41568,4.27,3.35,8.4,4.45,5931759,0.12,1.0
31679,3.46,3.03,10.1,4.59,8458690,0.03,0.0
53405,3.2,2.79,11.2,4.44,868756,0.02,0.0
60106,3.06,2.98,11.0,4.44,24442268,0.02,1.0
38485,3.48,3.13,8.8,4.75,7160950,0.06,1.0
39222,3.89,2.9,9.1,4.72,1634545,0.0,1.0
44512,3.89,3.23,9.2,4.49,1887059,0.04,0.0
36268,2.56,2.2,9.4,2.91,26817447,0.01,0.0
33046,4.21,3.43,9.5,4.44,2725014,0.03,1.0
47248,3.47,2.98,9.1,4.65,6493834,0.02,0.0
36883,4.36,3.02,5.6,4.73,12034519,0.02,1.0
31192,3.69,3.51,6.0,4.57,19650131,0.01,0.0
36721,3.77,3.02,8.7,4.49,1285006,0.01,0.0
38108,3.52,3.14,8.7,4.53,138431449,0.01,0.0
35717,3.5,3.09,8.6,4.57,132705,0.0,1.0
46541,4.67,2.97,8.3,4.89,2012928,0.0,0.0
38607,3.8,3.31,10.1,4.64,999955,0.03,0.0
36854,3.38,3.16,9.5,4.44,10607284,0.01,0.0
37054,3.95,3.04,8.6,4.9,1027645,0.0,0.0
29218,4.37,3.03,5.7,4.62,68008,0.08,0.0
46019,4.31,3.01,9.4,4.59,41913908,0.09,0.0
34574,3.88,3.24,9.3,4.78,10875,0.01,1.0
38320,3.9,2.68,9.3,4.79,897372,0.0,1.0
44748,3.95,2.87,9.6,4.65,734438,0.01,1.0
36601,3.28,3.13,9.3,4.38,40408397,0.03,1.0
38634,3.88,3.22,8.6,4.82,451195,0.0,0.0
38467,3.77,2.82,8.4,4.72,637599,0.0,0.0
40153,4.04,3.08,9.0,4.66,2916106,0.02,1.0
44134,4.19,3.17,10.6,4.62,189288998,0.01,0.0
40748,3.59,3.2,10.6,4.56,1242221,0.02,0.0
27769,3.21,3.24,11.8,4.46,37227165,0.04,1.0
42498,3.44,3.56,6.4,4.49,676663,0.05,0.0
49568,3.83,3.46,9.3,4.54,21437184,0.05,1.0
41958,4.14,3.18,9.0,4.65,1896530,0.01,0.0
41518,3.99,3.23,9.8,4.7,3258924,0.0,1.0
36936,3.42,3.04,9.4,4.59,1340913,0.0,1.0
47111,3.81,2.77,9.0,4.75,16896090,0.01,1.0
46326,4.21,2.8,8.9,4.85,229575942,0.0,1.0
41686,4.16,3.16,8.9,4.45,7010836,0.03,0.0
38435,3.51,3.43,9.3,4.31,4175710,0.04,1.0
35984,4.15,2.94,9.0,4.89,72119,0.0,0.0
25836,3.75,3.06,6.1,4.85,6838551,0.0,0.0
37515,4.13,3.06,8.5,4.89,4998181,0.0,0.0
